clip_id,behavior,event_id,start_seconds,eligible_time_seconds,end_seconds,label,split,group_id,annotator,reviewer,annotation_status,notes
loitering_negative_P02_low_light_frontal_oblique,loitering,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_negative_P02_low_light_side_oblique,loitering,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
loitering_negative_P03_daylight_frontal_oblique,loitering,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_negative_P03_daylight_side_oblique,loitering,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_negative_P03_low_light_frontal_oblique,loitering,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_negative_P03_low_light_side_oblique,loitering,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
loitering_negative_P04_daylight_frontal_oblique,loitering,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_negative_P04_daylight_side_oblique,loitering,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_negative_P04_low_light_frontal_oblique,loitering,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_negative_P04_low_light_side_oblique,loitering,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
loitering_negative_P05_daylight_frontal_oblique,loitering,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_negative_P05_daylight_side_oblique,loitering,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_negative_P05_low_light_frontal_oblique,loitering,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
loitering_negative_P05_low_light_side_oblique,loitering,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P01_daylight_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P01_daylight_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P01_daylight_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P01_daylight_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P01_low_light_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P01_low_light_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P01_low_light_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P01_low_light_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P02_daylight_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P02_daylight_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P02_daylight_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P02_daylight_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P02_low_light_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P02_low_light_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P02_low_light_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P02_low_light_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P03_daylight_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P03_daylight_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P03_daylight_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P03_daylight_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P03_low_light_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P03_low_light_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P03_low_light_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P03_low_light_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P04_daylight_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P04_daylight_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P04_daylight_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P04_daylight_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P04_low_light_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P04_low_light_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P04_low_light_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P04_low_light_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P05_daylight_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P05_daylight_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P05_daylight_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P05_daylight_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P05_low_light_frontal_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P05_low_light_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_positive_P05_low_light_side_oblique,suspicious_behavior,gt_suspicious_behavior_positive_P05_low_light_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P01_daylight_frontal_oblique,suspicious_behavior,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P01_daylight_side_oblique,suspicious_behavior,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P01_low_light_frontal_oblique,suspicious_behavior,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P01_low_light_side_oblique,suspicious_behavior,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P02_daylight_frontal_oblique,suspicious_behavior,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P02_daylight_side_oblique,suspicious_behavior,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P02_low_light_frontal_oblique,suspicious_behavior,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P02_low_light_side_oblique,suspicious_behavior,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P03_daylight_frontal_oblique,suspicious_behavior,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P03_daylight_side_oblique,suspicious_behavior,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P03_low_light_frontal_oblique,suspicious_behavior,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P03_low_light_side_oblique,suspicious_behavior,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P04_daylight_frontal_oblique,suspicious_behavior,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P04_daylight_side_oblique,suspicious_behavior,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P04_low_light_frontal_oblique,suspicious_behavior,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P04_low_light_side_oblique,suspicious_behavior,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P05_daylight_frontal_oblique,suspicious_behavior,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P05_daylight_side_oblique,suspicious_behavior,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P05_low_light_frontal_oblique,suspicious_behavior,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
suspicious_behavior_negative_P05_low_light_side_oblique,suspicious_behavior,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
theft_positive_P01_daylight_frontal_oblique,theft,gt_theft_positive_P01_daylight_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
theft_positive_P01_daylight_side_oblique,theft,gt_theft_positive_P01_daylight_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
theft_positive_P01_low_light_frontal_oblique,theft,gt_theft_positive_P01_low_light_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
theft_positive_P01_low_light_side_oblique,theft,gt_theft_positive_P01_low_light_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
theft_positive_P02_daylight_frontal_oblique,theft,gt_theft_positive_P02_daylight_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
theft_positive_P02_daylight_side_oblique,theft,gt_theft_positive_P02_daylight_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
theft_positive_P02_low_light_frontal_oblique,theft,gt_theft_positive_P02_low_light_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
theft_positive_P02_low_light_side_oblique,theft,gt_theft_positive_P02_low_light_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
theft_positive_P03_daylight_frontal_oblique,theft,gt_theft_positive_P03_daylight_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
theft_positive_P03_daylight_side_oblique,theft,gt_theft_positive_P03_daylight_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
theft_positive_P03_low_light_frontal_oblique,theft,gt_theft_positive_P03_low_light_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
theft_positive_P03_low_light_side_oblique,theft,gt_theft_positive_P03_low_light_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
theft_positive_P04_daylight_frontal_oblique,theft,gt_theft_positive_P04_daylight_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_positive_P04_daylight_side_oblique,theft,gt_theft_positive_P04_daylight_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_positive_P04_low_light_frontal_oblique,theft,gt_theft_positive_P04_low_light_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_positive_P04_low_light_side_oblique,theft,gt_theft_positive_P04_low_light_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_positive_P05_daylight_frontal_oblique,theft,gt_theft_positive_P05_daylight_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
theft_positive_P05_daylight_side_oblique,theft,gt_theft_positive_P05_daylight_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
theft_positive_P05_low_light_frontal_oblique,theft,gt_theft_positive_P05_low_light_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
theft_positive_P05_low_light_side_oblique,theft,gt_theft_positive_P05_low_light_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
theft_negative_P01_daylight_frontal_oblique,theft,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
theft_negative_P01_daylight_side_oblique,theft,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
theft_negative_P01_low_light_frontal_oblique,theft,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
theft_negative_P01_low_light_side_oblique,theft,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
theft_negative_P02_daylight_frontal_oblique,theft,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
theft_negative_P02_daylight_side_oblique,theft,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
theft_negative_P02_low_light_frontal_oblique,theft,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
theft_negative_P02_low_light_side_oblique,theft,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
theft_negative_P03_daylight_frontal_oblique,theft,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
theft_negative_P03_daylight_side_oblique,theft,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
theft_negative_P03_low_light_frontal_oblique,theft,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
theft_negative_P03_low_light_side_oblique,theft,,,,,negative,train,P03,,,NEEDS_MANUAL_INPUT,
theft_negative_P04_daylight_frontal_oblique,theft,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_negative_P04_daylight_side_oblique,theft,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_negative_P04_low_light_frontal_oblique,theft,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_negative_P04_low_light_side_oblique,theft,,,,,negative,validation,P04,,,NEEDS_MANUAL_INPUT,
theft_negative_P05_daylight_frontal_oblique,theft,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
theft_negative_P05_daylight_side_oblique,theft,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
theft_negative_P05_low_light_frontal_oblique,theft,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
theft_negative_P05_low_light_side_oblique,theft,,,,,negative,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P01_daylight_frontal_oblique,line_crossing,gt_line_crossing_positive_P01_daylight_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P01_daylight_side_oblique,line_crossing,gt_line_crossing_positive_P01_daylight_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P01_low_light_frontal_oblique,line_crossing,gt_line_crossing_positive_P01_low_light_frontal_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P01_low_light_side_oblique,line_crossing,gt_line_crossing_positive_P01_low_light_side_oblique_01,,,,positive,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P02_daylight_frontal_oblique,line_crossing,gt_line_crossing_positive_P02_daylight_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P02_daylight_side_oblique,line_crossing,gt_line_crossing_positive_P02_daylight_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P02_low_light_frontal_oblique,line_crossing,gt_line_crossing_positive_P02_low_light_frontal_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P02_low_light_side_oblique,line_crossing,gt_line_crossing_positive_P02_low_light_side_oblique_01,,,,positive,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P03_daylight_frontal_oblique,line_crossing,gt_line_crossing_positive_P03_daylight_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P03_daylight_side_oblique,line_crossing,gt_line_crossing_positive_P03_daylight_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P03_low_light_frontal_oblique,line_crossing,gt_line_crossing_positive_P03_low_light_frontal_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P03_low_light_side_oblique,line_crossing,gt_line_crossing_positive_P03_low_light_side_oblique_01,,,,positive,train,P03,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P04_daylight_frontal_oblique,line_crossing,gt_line_crossing_positive_P04_daylight_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P04_daylight_side_oblique,line_crossing,gt_line_crossing_positive_P04_daylight_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P04_low_light_frontal_oblique,line_crossing,gt_line_crossing_positive_P04_low_light_frontal_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P04_low_light_side_oblique,line_crossing,gt_line_crossing_positive_P04_low_light_side_oblique_01,,,,positive,validation,P04,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P05_daylight_frontal_oblique,line_crossing,gt_line_crossing_positive_P05_daylight_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P05_daylight_side_oblique,line_crossing,gt_line_crossing_positive_P05_daylight_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P05_low_light_frontal_oblique,line_crossing,gt_line_crossing_positive_P05_low_light_frontal_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_positive_P05_low_light_side_oblique,line_crossing,gt_line_crossing_positive_P05_low_light_side_oblique_01,,,,positive,test,P05,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P01_daylight_frontal_oblique,line_crossing,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P01_daylight_side_oblique,line_crossing,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P01_low_light_frontal_oblique,line_crossing,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P01_low_light_side_oblique,line_crossing,,,,,negative,train,P01,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P02_daylight_frontal_oblique,line_crossing,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P02_daylight_side_oblique,line_crossing,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
line_crossing_negative_P02_low_light_frontal_oblique,line_crossing,,,,,negative,train,P02,,,NEEDS_MANUAL_INPUT,
