experiment_version,clip_id,group_id,split,video_path,camera_config_path,status,source_path,source_sha256,video_sha256,frames,fps,duration_seconds,width,height
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_positive_r2_low_light_side_oblique,test_r2_low_light_side_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_side_oblique/P01_intrusion_positive_r2_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_positive_r2_low_light_side_oblique.yaml,READY,E:\SCT_Camera\tmp\intrusion_daylow_review_20260819_1\91014796315081936208.mp4,93e8d2c51efd1bf49c104b3ad12ee352e6f3d551bf85d6c7907a68b780354744,93e8d2c51efd1bf49c104b3ad12ee352e6f3d551bf85d6c7907a68b780354744,733,24.907404,29.429,1280,720
priority-pilot-v2-single-participant-2026-08-18,P01_intrusion_negative_r2_daylight_frontal_oblique,test_r2_daylight_frontal_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_frontal_oblique/P01_intrusion_negative_r2_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_intrusion_negative_r2_daylight_frontal_oblique.yaml,READY,E:\SCT_Camera\tmp\intrusion_light_review_20260818_1\83103301771838073566.mp4,749f8dd9c9b9e834c5b3f116a99dcb4e40e130fd9200fa1e72fc2e1762eb036c,749f8dd9c9b9e834c5b3f116a99dcb4e40e130fd9200fa1e72fc2e1762eb036c,709,24.907781,28.465,1280,720
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_positive_r2_low_light_frontal_oblique,test_r2_low_light_frontal_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_frontal_oblique/P01_loitering_positive_r2_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_positive_r2_low_light_frontal_oblique.yaml,READY,E:\Loitering\20260819004502164_F6B80AMPBVCDD6C_L_0_L0120819004502_1.mp4,ac90730d61d844144847de7ca0f55260f44e9b8ba82fa358bcffe4f73a2c03c7,ac90730d61d844144847de7ca0f55260f44e9b8ba82fa358bcffe4f73a2c03c7,1009,24.90743,40.51,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_loitering_negative_r2_daylight_side_oblique,test_r2_daylight_side_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_side_oblique/P01_loitering_negative_r2_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_loitering_negative_r2_daylight_side_oblique.yaml,READY,E:\Loitering\20260819004732425_F6B80AMPBVCDD6C_L_0_L0120819004732_1.mp4,cb1a89bb06f420886f877a49b7a855c5134ca131350bf70c6a4fa0ea97efdb8c,cb1a89bb06f420886f877a49b7a855c5134ca131350bf70c6a4fa0ea97efdb8c,890,24.907646,35.732,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_positive_r2_low_light_side_oblique,test_r2_low_light_side_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_side_oblique/P01_suspicious_behavior_positive_r2_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_positive_r2_low_light_side_oblique.yaml,READY,E:\Suspicious_behaviour\20260818233318116_F6B80AMPBVCDD6C_L_0_L0120818233318_1.mp4,3a44bc083428683ea9fa3a7f4c9e53270a0b676aea3a29ab889d73b3c23a62c1,3a44bc083428683ea9fa3a7f4c9e53270a0b676aea3a29ab889d73b3c23a62c1,5155,24.907593,206.965,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_suspicious_behavior_negative_r2_daylight_frontal_oblique,test_r2_daylight_frontal_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_frontal_oblique/P01_suspicious_behavior_negative_r2_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_suspicious_behavior_negative_r2_daylight_frontal_oblique.yaml,READY,E:\Suspicious_behaviour\20260819001857173_F6B80AMPBVCDD6C_L_0_L0120819001857_1.mp4,3f1868e41fbd4de4e2529e266e0abe0896167da2ffaed8d8326eaeb87fe54f99,3f1868e41fbd4de4e2529e266e0abe0896167da2ffaed8d8326eaeb87fe54f99,5035,24.907617,202.147,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_theft_positive_r2_low_light_frontal_oblique,test_r2_low_light_frontal_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_frontal_oblique/P01_theft_positive_r2_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_theft_positive_r2_low_light_frontal_oblique.yaml,READY,E:\Thef\20260819003351180_F6B80AMPBVCDD6C_L_0_L0120819003351_1.mp4,68e08f3e31c647a41d5b0a5a0188ecb442f671a97f2612044d3451406acb4b5f,68e08f3e31c647a41d5b0a5a0188ecb442f671a97f2612044d3451406acb4b5f,1030,24.907504,41.353,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_theft_negative_r2_daylight_side_oblique,test_r2_daylight_side_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_side_oblique/P01_theft_negative_r2_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_theft_negative_r2_daylight_side_oblique.yaml,READY,E:\Thef\20260819003659022_F6B80AMPBVCDD6C_L_0_L0120819003659_1.mp4,d7040c71e286918d501754925f2a293b90f63846e12ffd4308e09e93dfe66b06,d7040c71e286918d501754925f2a293b90f63846e12ffd4308e09e93dfe66b06,974,24.907938,39.104,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_positive_r2_low_light_side_oblique,test_r2_low_light_side_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_low_light_side_oblique/P01_line_crossing_positive_r2_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_line_crossing_positive_r2_low_light_side_oblique.yaml,READY,E:\SCT_Camera\tmp\loitering_line_review_20260819_1\20260819005426306_F6B80AMPBVCDD6C_L_0_L0120819005426_1.mp4,6577ccb43529df0f499c11275a51d8a2676e8c5c4d7c1c037e4a6dc49e1732a0,6577ccb43529df0f499c11275a51d8a2676e8c5c4d7c1c037e4a6dc49e1732a0,700,24.908373,28.103,2304,1296
priority-pilot-v2-single-participant-2026-08-18,P01_line_crossing_negative_r2_daylight_frontal_oblique,test_r2_daylight_frontal_oblique,test,experiments/priority_19_08/manual/videos_pilot/test/test_r2_daylight_frontal_oblique/P01_line_crossing_negative_r2_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs_pilot/P01_line_crossing_negative_r2_daylight_frontal_oblique.yaml,READY,E:\SCT_Camera\tmp\line_negative_review_20260819_2\20260819011218088_F6B80AMPBVCDD6C_L_0_L0120819011218_1.mp4,e3fb2e57b6bb76be7b6250b1eced3a4dfff08f40c13822f13e0d7a7f55c1746d,e3fb2e57b6bb76be7b6250b1eced3a4dfff08f40c13822f13e0d7a7f55c1746d,651,24.908173,26.136,2304,1296
