clip_id,behavior,label,participant_id,lighting,viewpoint,split,group_id,target_duration_seconds,action_script,camera_setup,video_path,camera_config_path,status
intrusion_positive_P03_low_light_frontal_oblique,intrusion,positive,P03,low_light,frontal_oblique,train,P03,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P03_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P03_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P03_low_light_side_oblique,intrusion,positive,P03,low_light,side_oblique,train,P03,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_positive_P03_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P03_low_light_side_oblique.yaml,TO_RECORD
intrusion_positive_P04_daylight_frontal_oblique,intrusion,positive,P04,daylight,frontal_oblique,validation,P04,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_positive_P04_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P04_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P04_daylight_side_oblique,intrusion,positive,P04,daylight,side_oblique,validation,P04,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_positive_P04_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P04_daylight_side_oblique.yaml,TO_RECORD
intrusion_positive_P04_low_light_frontal_oblique,intrusion,positive,P04,low_light,frontal_oblique,validation,P04,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_positive_P04_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P04_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P04_low_light_side_oblique,intrusion,positive,P04,low_light,side_oblique,validation,P04,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_positive_P04_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P04_low_light_side_oblique.yaml,TO_RECORD
intrusion_positive_P05_daylight_frontal_oblique,intrusion,positive,P05,daylight,frontal_oblique,test,P05,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_positive_P05_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P05_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P05_daylight_side_oblique,intrusion,positive,P05,daylight,side_oblique,test,P05,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_positive_P05_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P05_daylight_side_oblique.yaml,TO_RECORD
intrusion_positive_P05_low_light_frontal_oblique,intrusion,positive,P05,low_light,frontal_oblique,test,P05,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_positive_P05_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P05_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_positive_P05_low_light_side_oblique,intrusion,positive,P05,low_light,side_oblique,test,P05,25,A person crosses the configured line in the IN direction once.,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_positive_P05_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_positive_P05_low_light_side_oblique.yaml,TO_RECORD
intrusion_negative_P01_daylight_frontal_oblique,intrusion,negative,P01,daylight,frontal_oblique,train,P01,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P01_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P01_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P01_daylight_side_oblique,intrusion,negative,P01,daylight,side_oblique,train,P01,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P01_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P01_daylight_side_oblique.yaml,TO_RECORD
intrusion_negative_P01_low_light_frontal_oblique,intrusion,negative,P01,low_light,frontal_oblique,train,P01,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P01_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P01_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P01_low_light_side_oblique,intrusion,negative,P01,low_light,side_oblique,train,P01,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P01_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P01_low_light_side_oblique.yaml,TO_RECORD
intrusion_negative_P02_daylight_frontal_oblique,intrusion,negative,P02,daylight,frontal_oblique,train,P02,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P02_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P02_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P02_daylight_side_oblique,intrusion,negative,P02,daylight,side_oblique,train,P02,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P02_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P02_daylight_side_oblique.yaml,TO_RECORD
intrusion_negative_P02_low_light_frontal_oblique,intrusion,negative,P02,low_light,frontal_oblique,train,P02,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P02_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P02_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P02_low_light_side_oblique,intrusion,negative,P02,low_light,side_oblique,train,P02,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P02_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P02_low_light_side_oblique.yaml,TO_RECORD
intrusion_negative_P03_daylight_frontal_oblique,intrusion,negative,P03,daylight,frontal_oblique,train,P03,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P03_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P03_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P03_daylight_side_oblique,intrusion,negative,P03,daylight,side_oblique,train,P03,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P03_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P03_daylight_side_oblique.yaml,TO_RECORD
intrusion_negative_P03_low_light_frontal_oblique,intrusion,negative,P03,low_light,frontal_oblique,train,P03,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P03_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P03_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P03_low_light_side_oblique,intrusion,negative,P03,low_light,side_oblique,train,P03,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/train/intrusion_negative_P03_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P03_low_light_side_oblique.yaml,TO_RECORD
intrusion_negative_P04_daylight_frontal_oblique,intrusion,negative,P04,daylight,frontal_oblique,validation,P04,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_negative_P04_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P04_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P04_daylight_side_oblique,intrusion,negative,P04,daylight,side_oblique,validation,P04,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_negative_P04_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P04_daylight_side_oblique.yaml,TO_RECORD
intrusion_negative_P04_low_light_frontal_oblique,intrusion,negative,P04,low_light,frontal_oblique,validation,P04,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_negative_P04_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P04_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P04_low_light_side_oblique,intrusion,negative,P04,low_light,side_oblique,validation,P04,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/validation/intrusion_negative_P04_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P04_low_light_side_oblique.yaml,TO_RECORD
intrusion_negative_P05_daylight_frontal_oblique,intrusion,negative,P05,daylight,frontal_oblique,test,P05,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_negative_P05_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P05_daylight_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P05_daylight_side_oblique,intrusion,negative,P05,daylight,side_oblique,test,P05,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_negative_P05_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P05_daylight_side_oblique.yaml,TO_RECORD
intrusion_negative_P05_low_light_frontal_oblique,intrusion,negative,P05,low_light,frontal_oblique,test,P05,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_negative_P05_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P05_low_light_frontal_oblique.yaml,TO_RECORD
intrusion_negative_P05_low_light_side_oblique,intrusion,negative,P05,low_light,side_oblique,test,P05,25,"A person approaches the line, stops/turns before it, or crosses only OUT.",fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/intrusion/test/intrusion_negative_P05_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/intrusion_negative_P05_low_light_side_oblique.yaml,TO_RECORD
loitering_positive_P01_daylight_frontal_oblique,loitering,positive,P01,daylight,frontal_oblique,train,P01,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P01_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P01_daylight_frontal_oblique.yaml,TO_RECORD
loitering_positive_P01_daylight_side_oblique,loitering,positive,P01,daylight,side_oblique,train,P01,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P01_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P01_daylight_side_oblique.yaml,TO_RECORD
loitering_positive_P01_low_light_frontal_oblique,loitering,positive,P01,low_light,frontal_oblique,train,P01,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P01_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P01_low_light_frontal_oblique.yaml,TO_RECORD
loitering_positive_P01_low_light_side_oblique,loitering,positive,P01,low_light,side_oblique,train,P01,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P01_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P01_low_light_side_oblique.yaml,TO_RECORD
loitering_positive_P02_daylight_frontal_oblique,loitering,positive,P02,daylight,frontal_oblique,train,P02,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P02_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P02_daylight_frontal_oblique.yaml,TO_RECORD
loitering_positive_P02_daylight_side_oblique,loitering,positive,P02,daylight,side_oblique,train,P02,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P02_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P02_daylight_side_oblique.yaml,TO_RECORD
loitering_positive_P02_low_light_frontal_oblique,loitering,positive,P02,low_light,frontal_oblique,train,P02,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P02_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P02_low_light_frontal_oblique.yaml,TO_RECORD
loitering_positive_P02_low_light_side_oblique,loitering,positive,P02,low_light,side_oblique,train,P02,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P02_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P02_low_light_side_oblique.yaml,TO_RECORD
loitering_positive_P03_daylight_frontal_oblique,loitering,positive,P03,daylight,frontal_oblique,train,P03,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P03_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P03_daylight_frontal_oblique.yaml,TO_RECORD
loitering_positive_P03_daylight_side_oblique,loitering,positive,P03,daylight,side_oblique,train,P03,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P03_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P03_daylight_side_oblique.yaml,TO_RECORD
loitering_positive_P03_low_light_frontal_oblique,loitering,positive,P03,low_light,frontal_oblique,train,P03,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P03_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P03_low_light_frontal_oblique.yaml,TO_RECORD
loitering_positive_P03_low_light_side_oblique,loitering,positive,P03,low_light,side_oblique,train,P03,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/train/loitering_positive_P03_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P03_low_light_side_oblique.yaml,TO_RECORD
loitering_positive_P04_daylight_frontal_oblique,loitering,positive,P04,daylight,frontal_oblique,validation,P04,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/validation/loitering_positive_P04_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P04_daylight_frontal_oblique.yaml,TO_RECORD
loitering_positive_P04_daylight_side_oblique,loitering,positive,P04,daylight,side_oblique,validation,P04,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/validation/loitering_positive_P04_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P04_daylight_side_oblique.yaml,TO_RECORD
loitering_positive_P04_low_light_frontal_oblique,loitering,positive,P04,low_light,frontal_oblique,validation,P04,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/validation/loitering_positive_P04_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P04_low_light_frontal_oblique.yaml,TO_RECORD
loitering_positive_P04_low_light_side_oblique,loitering,positive,P04,low_light,side_oblique,validation,P04,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/validation/loitering_positive_P04_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P04_low_light_side_oblique.yaml,TO_RECORD
loitering_positive_P05_daylight_frontal_oblique,loitering,positive,P05,daylight,frontal_oblique,test,P05,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/test/loitering_positive_P05_daylight_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P05_daylight_frontal_oblique.yaml,TO_RECORD
loitering_positive_P05_daylight_side_oblique,loitering,positive,P05,daylight,side_oblique,test,P05,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/test/loitering_positive_P05_daylight_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P05_daylight_side_oblique.yaml,TO_RECORD
loitering_positive_P05_low_light_frontal_oblique,loitering,positive,P05,low_light,frontal_oblique,test,P05,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/test/loitering_positive_P05_low_light_frontal_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P05_low_light_frontal_oblique.yaml,TO_RECORD
loitering_positive_P05_low_light_side_oblique,loitering,positive,P05,low_light,side_oblique,test,P05,35,A person stays inside the loitering ROI for at least 25 s (configured threshold 20 s).,fixed 2.5-3 m high; 20-35 degree downward angle; full body/ROI visible; 1280x720 or higher; 25-30 FPS,experiments/priority_19_08/manual/videos/loitering/test/loitering_positive_P05_low_light_side_oblique.mp4,experiments/priority_19_08/manual/configs/loitering_positive_P05_low_light_side_oblique.yaml,TO_RECORD
